lambda_start_frac,lambda_block_cca,dimension,metric,n,mean,ci95_low,ci95_high,ci95_half_width
0.2,5.0,128,finetuned_decoder_r2_x,5,0.9258147717,0.9216331887,0.9299963546,0.004181582993
0.2,5.0,128,finetuned_decoder_r2_y,5,0.8980970263,0.8969198816,0.8992741711,0.001177144722
0.2,5.0,128,finetuned_decoder_r2_mean,5,0.911955905,0.9097386295,0.9141731805,0.002217275507
1.0,1.0,128,embedding_val_zeta,5,0.4624406775,0.4553823262,0.4694990287,0.00705835126
1.0,1.0,128,mean_val_zeta,5,0.4375262916,0.4040540694,0.4709985138,0.03347222218
1.0,1.0,128,embedding_whole_val_regularization_raw,5,0.1018466,0.09366300497,0.110030195,0.00818359503
1.0,1.0,128,checkpoint_regularization_lambda,5,1,1,1,0
1.0,1.0,128,frozen_decoder_rmse_x,5,74.95788879,73.90782052,76.00795707,1.050068272
1.0,1.0,128,frozen_decoder_rmse_y,5,79.63615723,78.66881523,80.60349922,0.9673419962
1.0,1.0,128,frozen_decoder_rmse_mean,5,77.3362854,77.04750453,77.62506627,0.2887808669
1.0,1.0,128,frozen_decoder_r2_x,5,0.9118719816,0.9083760863,0.9153678769,0.0034958953
1.0,1.0,128,frozen_decoder_r2_y,5,0.8803975701,0.8765675169,0.8842276234,0.003830053269
1.0,1.0,128,frozen_decoder_r2_mean,5,0.8961347699,0.8944547378,0.897814802,0.001680032071
1.0,1.0,128,finetuned_decoder_rmse_x,5,69.55158234,68.39767692,70.70548776,1.153905421
1.0,1.0,128,finetuned_decoder_rmse_y,5,74.05311432,73.32783327,74.77839537,0.7252810532
1.0,1.0,128,finetuned_decoder_rmse_mean,5,71.83930511,71.01485243,72.6637578,0.8244526858
1.0,1.0,128,finetuned_decoder_r2_x,5,0.9241280913,0.9210656848,0.9271904979,0.003062406548
1.0,1.0,128,finetuned_decoder_r2_y,5,0.8965953588,0.8947178765,0.8984728412,0.001877482376
1.0,1.0,128,finetuned_decoder_r2_mean,5,0.9103617072,0.9087810574,0.911942357,0.001580649775
