baseline_index,config_index,baseline_config,experimental_config,baseline_lambda_start_frac,baseline_lambda_block_cca,lambda_start_frac,lambda_block_cca,metric,n,pair_columns,paired_keys,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value,wins_experimental,wins_baseline,ties
2,6,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=20",1.0,1.0,1.0,20.0,finetuned_decoder_r2_mean,5,seed,0;1;2;3;4,0.9099754214,0.9050797582,-0.004895663261,-0.0114679091,0.001676582581,0.006572245842,-2.068172832,0.1074523669,0,5,0
2,6,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=20",1.0,1.0,1.0,20.0,finetuned_decoder_rmse_mean,5,seed,0;1;2;3;4,71.96986237,73.88308563,1.913223267,-0.6137774024,4.440223936,2.527000669,2.102080715,0.1034101388,5,0,0
2,7,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=40",1.0,1.0,1.0,40.0,mean_val_zeta,5,seed,0;1;2;3;4,0.4947603047,0.0402286917,-0.454531613,-0.4624384734,-0.4466247526,0.007906860402,-159.6059634,9.243600051e-09,0,5,0
2,7,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=40",1.0,1.0,1.0,40.0,embedding_val_zeta,5,seed,0;1;2;3;4,0.448143665,0.1785277337,-0.2696159313,-0.277414936,-0.2618169266,0.007799004712,-95.98325176,7.064073512e-08,0,5,0
2,7,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=40",1.0,1.0,1.0,40.0,embedding_whole_val_regularization_raw,5,seed,0;1;2;3;4,0.117497,0.002475,-0.115022,-0.1228581324,-0.1071858676,0.007836132393,-40.75381232,2.166392068e-06,0,5,0
2,7,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=40",1.0,1.0,1.0,40.0,frozen_decoder_r2_mean,5,seed,0;1;2;3;4,0.8950591326,0.6069761515,-0.2880829811,-0.3000346863,-0.2761312759,0.01195170517,-66.923219,2.986742494e-07,0,5,0
2,7,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=40",1.0,1.0,1.0,40.0,frozen_decoder_rmse_mean,5,seed,0;1;2;3;4,77.71165924,150.8091675,73.09750824,71.62279199,74.57222449,1.474716245,137.6205216,1.672112893e-08,5,0,0
2,7,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=40",1.0,1.0,1.0,40.0,finetuned_decoder_r2_mean,5,seed,0;1;2;3;4,0.9099754214,0.896357131,-0.01361829042,-0.0160282925,-0.01120828835,0.002410002075,-15.688964,9.640558254e-05,0,5,0
2,7,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=40",1.0,1.0,1.0,40.0,finetuned_decoder_rmse_mean,5,seed,0;1;2;3;4,71.96986237,77.29867706,5.328814697,4.405108562,6.252520832,0.9237061352,16.01717356,8.883941195e-05,5,0,0
2,8,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=0.1,lambda_block_cca=10",1.0,1.0,0.1,10.0,mean_val_zeta,5,seed,0;1;2;3;4,0.4947603047,0.3245419502,-0.1702183544,-0.2036179461,-0.1368187628,0.03339959168,-14.14993098,0.0001448138411,0,5,0
2,8,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=0.1,lambda_block_cca=10",1.0,1.0,0.1,10.0,embedding_val_zeta,5,seed,0;1;2;3;4,0.448143665,0.4672007832,0.01905711823,0.001618549047,0.03649568741,0.01743856918,3.034138987,0.03862343729,5,0,0
2,8,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=0.1,lambda_block_cca=10",1.0,1.0,0.1,10.0,embedding_whole_val_regularization_raw,5,seed,0;1;2;3;4,0.117497,0.013998,-0.103499,-0.1109245877,-0.09607341228,0.007425587719,-38.698525,2.66343897e-06,0,5,0
2,8,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=0.1,lambda_block_cca=10",1.0,1.0,0.1,10.0,frozen_decoder_r2_mean,5,seed,0;1;2;3;4,0.8950591326,0.8987229943,0.003663861752,0.0018543292,0.005473394303,0.001809532552,5.62162367,0.004922936051,5,0,0
2,8,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=0.1,lambda_block_cca=10",1.0,1.0,0.1,10.0,frozen_decoder_rmse_mean,5,seed,0;1;2;3;4,77.71165924,76.34406433,-1.36759491,-1.923521993,-0.811667826,0.5559270837,-6.830126296,0.002403191209,0,5,0
2,8,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=0.1,lambda_block_cca=10",1.0,1.0,0.1,10.0,finetuned_decoder_r2_mean,5,seed,0;1;2;3;4,0.9099754214,0.9128082156,0.002832794189,0.000824346442,0.004841241937,0.002008447747,3.916008057,0.01730584962,5,0,0
2,8,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=0.1,lambda_block_cca=10",1.0,1.0,0.1,10.0,finetuned_decoder_rmse_mean,5,seed,0;1;2;3;4,71.96986237,70.84730682,-1.122555542,-1.935786214,-0.3093248697,0.8132306723,-3.832508962,0.01857816522,0,5,0
