config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=40",mean_val_zeta,5,0.3245419502,0.0402286917,-0.2843132585,-0.3148541574,-0.2537723596,0.0305408989,-25.84665754,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=40",embedding_val_zeta,5,0.4672007832,0.1785277337,-0.2886730495,-0.3051116092,-0.2722344899,0.01643855966,-48.756393,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=40",embedding_whole_val_regularization_raw,5,0.013998,0.002475,-0.011523,-0.01524123971,-0.007804760293,0.003718239707,-8.604334165,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=40",frozen_decoder_r2_mean,5,0.8987229943,0.6069761515,-0.2917468429,-0.3046331874,-0.2788604983,0.01288634452,-62.85871781,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=40",frozen_decoder_rmse_mean,5,76.34406433,150.8091675,74.46510315,72.73357503,76.19663127,1.731528121,119.4022024,5,0,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=40",finetuned_decoder_r2_mean,5,0.9128082156,0.896357131,-0.01645108461,-0.0186104094,-0.01429175983,0.002159324789,-21.15269254,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=40",finetuned_decoder_rmse_mean,5,70.84730682,77.29867706,6.451370239,5.702817839,7.199922639,0.7485523999,23.92868599,5,0,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=5",mean_val_zeta,5,0.3245419502,0.2540967643,-0.07044518588,-0.08330914799,-0.05758122377,0.01286396211,-15.20427298,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=5",embedding_val_zeta,5,0.4672007832,0.4435951299,-0.02360565331,-0.03839883068,-0.008812475946,0.01479317737,-4.430407273,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=5",embedding_whole_val_regularization_raw,5,0.013998,0.0067114,-0.0072866,-0.01166049063,-0.00291270937,0.00437389063,-4.625365976,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=5",frozen_decoder_r2_mean,5,0.8987229943,0.8851383567,-0.01358463764,-0.01616609764,-0.01100317764,0.002581459997,-14.61072444,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=5",frozen_decoder_rmse_mean,5,76.34406433,81.34402008,4.99995575,4.09754977,5.902361729,0.902405979,15.38343383,5,0,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=5",finetuned_decoder_r2_mean,5,0.9128082156,0.9104949474,-0.002313268185,-0.003596507434,-0.001030028935,0.001283239249,-5.005038718,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=5",finetuned_decoder_rmse_mean,5,70.84730682,71.77194519,0.9246383667,0.4901470698,1.359129664,0.4344912969,5.908536455,5,0,0,0;1;2;3;4
