lambda_start_frac,lambda_block_cca,dimension,metric,n,mean,ci95_low,ci95_high,ci95_half_width
1.0,2.0,128,finetuned_decoder_r2_mean,5,0.9102337956,0.9030789183,0.917388673,0.007154877324
1.0,20.0,128,embedding_val_zeta,5,0.2901620222,0.2157424716,0.3645815729,0.0744195507
1.0,20.0,128,mean_val_zeta,5,0.07130532712,0.05085311108,0.09175754316,0.02045221604
1.0,20.0,128,embedding_whole_val_regularization_raw,5,0.0023664,0.001526238995,0.003206561005,0.0008401610053
1.0,20.0,128,checkpoint_regularization_lambda,5,20,20,20,0
1.0,20.0,128,frozen_decoder_rmse_x,5,100.9735413,69.85340493,132.0936776,31.12013633
1.0,20.0,128,frozen_decoder_rmse_y,5,107.3571686,78.78988068,135.9244565,28.5672879
1.0,20.0,128,frozen_decoder_rmse_mean,5,104.2295303,74.4550747,134.003986,29.77445563
1.0,20.0,128,frozen_decoder_r2_x,5,0.8320754766,0.7163316851,0.9478192682,0.1157437915
1.0,20.0,128,frozen_decoder_r2_y,5,0.7741681576,0.6395914007,0.9087449145,0.1345767569
1.0,20.0,128,frozen_decoder_r2_mean,5,0.8031218171,0.6780095784,0.9282340558,0.1251122387
1.0,20.0,128,finetuned_decoder_rmse_x,5,71.40307922,67.72618092,75.07997753,3.676898305
1.0,20.0,128,finetuned_decoder_rmse_y,5,76.27213135,74.08905477,78.45520793,2.183076579
1.0,20.0,128,finetuned_decoder_rmse_mean,5,73.88308563,71.06541525,76.70075602,2.817670383
1.0,20.0,128,finetuned_decoder_r2_x,5,0.9199139237,0.9108876249,0.9289402226,0.009026298852
1.0,20.0,128,finetuned_decoder_r2_y,5,0.8902456045,0.8833435106,0.8971476985,0.006902093941
1.0,20.0,128,finetuned_decoder_r2_mean,5,0.9050797582,0.8975018235,0.9126576929,0.007577934688
1.0,40.0,128,embedding_val_zeta,5,0.1785277337,0.1749124531,0.1821430142,0.003615280553
1.0,40.0,128,mean_val_zeta,5,0.0402286917,0.03880862423,0.04164875916,0.001420067465
1.0,40.0,128,embedding_whole_val_regularization_raw,5,0.002475,0.001701105583,0.003248894417,0.0007738944174
1.0,40.0,128,checkpoint_regularization_lambda,5,40,40,40,0
1.0,40.0,128,frozen_decoder_rmse_x,5,150.4699799,148.5152745,152.4246852,1.954705335
1.0,40.0,128,frozen_decoder_rmse_y,5,151.1417145,148.9733667,153.3100623,2.168347797
1.0,40.0,128,frozen_decoder_rmse_mean,5,150.8091675,149.0215047,152.5968303,1.787662772
1.0,40.0,128,frozen_decoder_r2_x,5,0.6448451042,0.6295527963,0.6601374121,0.01529230789
1.0,40.0,128,frozen_decoder_r2_y,5,0.5691072106,0.5504261149,0.5877883064,0.01868109572
1.0,40.0,128,frozen_decoder_r2_mean,5,0.6069761515,0.5926009665,0.6213513364,0.01437518494
1.0,40.0,128,finetuned_decoder_rmse_x,5,75.48436127,73.34910203,77.61962051,2.135259238
1.0,40.0,128,finetuned_decoder_rmse_y,5,79.05499573,78.10843334,80.00155811,0.9465623858
1.0,40.0,128,finetuned_decoder_rmse_mean,5,77.29867706,76.55469784,78.04265629,0.7439792265
1.0,40.0,128,finetuned_decoder_r2_x,5,0.9105835319,0.9044327098,0.9167343539,0.006150822036
1.0,40.0,128,finetuned_decoder_r2_y,5,0.8821307182,0.8780244212,0.8862370153,0.004106297024
1.0,40.0,128,finetuned_decoder_r2_mean,5,0.896357131,0.8935422398,0.8991720222,0.002814891236
1.0,5.0,128,embedding_val_zeta,5,0.4435951299,0.4295710342,0.4576192257,0.01402409574
1.0,5.0,128,mean_val_zeta,5,0.2540967643,0.2252829798,0.2829105489,0.02881378458
1.0,5.0,128,embedding_whole_val_regularization_raw,5,0.0067114,0.006362277511,0.007060522489,0.0003491224887
1.0,5.0,128,checkpoint_regularization_lambda,5,5,5,5,0
1.0,5.0,128,frozen_decoder_rmse_x,5,78.9875885,77.72019001,80.25498699,1.267398488
1.0,5.0,128,frozen_decoder_rmse_y,5,83.62550812,81.70597962,85.54503662,1.919528499
1.0,5.0,128,frozen_decoder_rmse_mean,5,81.34402008,80.09836403,82.58967613,1.24565605
1.0,5.0,128,frozen_decoder_r2_x,5,0.9021600127,0.8990607271,0.9052592983,0.003099285597
1.0,5.0,128,frozen_decoder_r2_y,5,0.8681166649,0.8626084597,0.8736248701,0.005508205216
1.0,5.0,128,frozen_decoder_r2_mean,5,0.8851383567,0.8814615631,0.8888151503,0.00367679359
1.0,5.0,128,finetuned_decoder_rmse_x,5,69.29884796,68.09939065,70.49830527,1.199457312
1.0,5.0,128,finetuned_decoder_rmse_y,5,74.15435181,72.31775106,75.99095255,1.836600745
1.0,5.0,128,finetuned_decoder_rmse_mean,5,71.77194519,70.5510656,72.99282478,1.220879586
1.0,5.0,128,finetuned_decoder_r2_x,5,0.92467103,0.921253298,0.9280887621,0.003417732066
1.0,5.0,128,finetuned_decoder_r2_y,5,0.8963188887,0.892843557,0.8997942203,0.003475331627
1.0,5.0,128,finetuned_decoder_r2_mean,5,0.9104949474,0.9074182944,0.9135716005,0.003076653058
