lambda_start_frac,lambda_block_cca,dimension,antisymmetric_planes,metric,n,mean,ci95_low,ci95_high,ci95_half_width
1.0,0.5,128,-1,frozen_decoder_balanced_accuracy,5,0.5598874175,0.5442121045,0.5755627306,0.01567531305
1.0,0.5,128,-1,frozen_decoder_macro_f1,5,0.5619076407,0.5455128519,0.5783024295,0.01639478881
1.0,0.5,128,-1,frozen_decoder_best_val_acc,5,0.5601121545,0.5451429639,0.5750813451,0.01496919057
1.0,0.5,128,-1,frozen_decoder_best_val_ce,5,1.221165228,1.011851918,1.430478538,0.2093133098
1.0,0.5,128,-1,frozen_decoder_test_accuracy,5,0.5174638138,0.4675196041,0.5674080234,0.04994420966
1.0,0.5,128,-1,frozen_decoder_test_balanced_accuracy,5,0.5174315014,0.4674962937,0.5673667092,0.04993520773
1.0,0.5,128,-1,frozen_decoder_test_macro_f1,5,0.5181329655,0.4690472291,0.567218702,0.04908573642
1.0,1.0,128,-1,embedding_val_zeta,5,0.2899696018,0.2786747754,0.3012644283,0.01129482645
1.0,1.0,128,-1,embedding_val_mean_plane_zeta,5,0.2818859903,0.2723275153,0.2914444653,0.009558475028
1.0,1.0,128,-1,checkpoint_score,5,0.2818859903,0.2723275153,0.2914444653,0.009558475028
1.0,1.0,128,-1,validation_zeta,5,0.2899696,0.2786748725,0.3012643275,0.01129472749
1.0,1.0,128,-1,validation_loss,5,-0.2652964,-0.3164168379,-0.2141759621,0.05112043791
1.0,1.0,128,-1,regularization_whole_batch_total_raw,5,0.0461462,0.03595357183,0.05633882817,0.01019262817
1.0,1.0,128,-1,checkpoint_regularization_lambda,5,1,1,1,0
1.0,1.0,128,-1,frozen_decoder_accuracy,5,0.5691671276,0.5488484393,0.589485816,0.02031868832
1.0,1.0,128,-1,frozen_decoder_balanced_accuracy,5,0.570240001,0.548821415,0.5916585871,0.02141858602
1.0,1.0,128,-1,frozen_decoder_macro_f1,5,0.5693585856,0.5492327819,0.5894843893,0.0201258037
1.0,1.0,128,-1,frozen_decoder_best_val_acc,5,0.5691671252,0.5488484349,0.5894858156,0.02031869034
1.0,1.0,128,-1,frozen_decoder_best_val_ce,5,1.364715719,1.137238018,1.59219342,0.2274777013
1.0,1.0,128,-1,frozen_decoder_test_accuracy,5,0.5019259137,0.4299234012,0.5739284261,0.07200251243
1.0,1.0,128,-1,frozen_decoder_test_balanced_accuracy,5,0.5019252299,0.4299063423,0.5739441174,0.07201888753
1.0,1.0,128,-1,frozen_decoder_test_macro_f1,5,0.4991698837,0.4251421593,0.5731976081,0.07402772439
1.0,10.0,128,-1,embedding_val_zeta,5,0.306562623,0.3019573021,0.3111679438,0.004605320884
1.0,10.0,128,-1,embedding_val_mean_plane_zeta,5,0.2901793774,0.2830309194,0.2973278354,0.007148457989
1.0,10.0,128,-1,checkpoint_score,5,0.2901793774,0.2830309194,0.2973278354,0.007148457989
1.0,10.0,128,-1,validation_zeta,5,0.3065628,0.3019575849,0.3111680151,0.004605215134
1.0,10.0,128,-1,validation_loss,5,-0.0339298,-0.04535471829,-0.02250488171,0.01142491829
1.0,10.0,128,-1,regularization_whole_batch_total_raw,5,0.0007026,0.000191755528,0.001213444472,0.000510844472
1.0,10.0,128,-1,checkpoint_regularization_lambda,5,10,10,10,0
1.0,10.0,128,-1,frozen_decoder_accuracy,5,0.5624946536,0.5474365804,0.5775527268,0.01505807321
1.0,10.0,128,-1,frozen_decoder_balanced_accuracy,5,0.562490833,0.5460967223,0.5788849436,0.01639411064
1.0,10.0,128,-1,frozen_decoder_macro_f1,5,0.5614877375,0.5452551682,0.5777203068,0.01623256928
1.0,10.0,128,-1,frozen_decoder_best_val_acc,5,0.5624946594,0.5474365755,0.5775527433,0.0150580839
1.0,10.0,128,-1,frozen_decoder_best_val_ce,5,1.274420667,0.998434664,1.550406669,0.2759860027
