config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
odd_plane_fraction=0.25,odd_plane_fraction=0.75,frozen_decoder_rmse_mean,5,77.33515167,78.18906555,0.8539138794,-2.666349581,4.37417734,3.520263461,0.6734851062,3,2,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.75,finetuned_decoder_r2_mean,5,0.9122694612,0.9101635337,-0.002105927467,-0.006055882076,0.001844027141,0.003949954608,-1.480268152,2,3,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.75,finetuned_decoder_rmse_mean,5,71.0197403,71.88306122,0.8633209229,-0.6922132075,2.418855053,1.55553413,1.540926106,3,2,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=1,mean_val_zeta,5,0.3315376461,0.2114616424,-0.1200760037,-0.1575693044,-0.082582703,0.03749330068,-8.891840052,0,5,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=1,embedding_val_zeta,5,0.4442407191,0.4444205834,0.0001798643006,-0.01885901384,0.01921874244,0.01903887814,0.02622966298,2,3,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=1,embedding_whole_val_regularization_raw,5,0.0237958,0.004718,-0.0190778,-0.02652498369,-0.01163061631,0.007447183687,-7.112549745,0,5,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=1,frozen_decoder_r2_mean,5,0.8960544825,0.8458788037,-0.05017567873,-0.05807388369,-0.04227747377,0.007898204956,-17.63818721,0,5,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=1,frozen_decoder_rmse_mean,5,77.33515167,94.15608826,16.82093658,13.8255947,19.81627847,2.995341889,15.59167827,5,0,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=1,finetuned_decoder_r2_mean,5,0.9122694612,0.859569943,-0.0526995182,-0.05707985833,-0.04831917807,0.00438034013,-33.40318675,0,5,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=1,finetuned_decoder_rmse_mean,5,71.0197403,89.8934494,18.87370911,17.1095253,20.63789291,1.764183802,29.70315066,5,0,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=0.75,mean_val_zeta,5,0.3229138553,0.232747981,-0.09016587434,-0.1333351411,-0.04699660756,0.04316926678,-5.799046848,0,5,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=0.75,embedding_val_zeta,5,0.4683750431,0.4675893399,-0.0007857031292,-0.05108069655,0.04950929029,0.05029499342,-0.04337333517,2,3,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=0.75,embedding_whole_val_regularization_raw,5,0.015403,0.0095126,-0.0058904,-0.01214549677,0.000364696773,0.006255096773,-2.614567423,1,4,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=0.75,frozen_decoder_r2_mean,5,0.8984918118,0.8937672377,-0.004724574089,-0.007716432742,-0.001732715436,0.002991858653,-4.384405189,0,5,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=0.75,frozen_decoder_rmse_mean,5,76.43406372,78.18906555,1.755001831,0.7331196172,2.776884045,1.021882214,4.768324742,5,0,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=0.75,finetuned_decoder_r2_mean,5,0.9124561548,0.9101635337,-0.002292621136,-0.005295544943,0.0007103026718,0.003002923807,-2.119713032,1,4,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=0.75,finetuned_decoder_rmse_mean,5,70.9900589,71.88306122,0.8930023193,-0.2960497188,2.082054357,1.189052038,2.085166872,3,2,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=1,mean_val_zeta,5,0.3229138553,0.2114616424,-0.1114522129,-0.1352215893,-0.08768283652,0.0237693764,-13.01847157,0,5,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=1,embedding_val_zeta,5,0.4683750431,0.4444205834,-0.02395445969,-0.04288645584,-0.005022463544,0.01893199615,-3.513007389,0,5,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=1,embedding_whole_val_regularization_raw,5,0.015403,0.004718,-0.010685,-0.01390515031,-0.00746484969,0.00322015031,-9.212711548,0,5,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=1,frozen_decoder_r2_mean,5,0.8984918118,0.8458788037,-0.05261300802,-0.05564415745,-0.04958185859,0.003031149431,-48.19199182,0,5,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=1,frozen_decoder_rmse_mean,5,76.43406372,94.15608826,17.72202454,16.73754576,18.70650331,0.9844787722,49.97997891,5,0,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=1,finetuned_decoder_r2_mean,5,0.9124561548,0.859569943,-0.05288621187,-0.05522248539,-0.05054993836,0.002336273513,-62.850374,0,5,0,0;1;2;3;4
odd_plane_fraction=0.5,odd_plane_fraction=1,finetuned_decoder_rmse_mean,5,70.9900589,89.8934494,18.9033905,18.06472169,19.74205932,0.8386688152,62.58039536,5,0,0,0;1;2;3;4
odd_plane_fraction=0.75,odd_plane_fraction=1,mean_val_zeta,5,0.232747981,0.2114616424,-0.02128633858,-0.04163166781,-0.0009410093491,0.02034532923,-2.90486086,0,5,0,0;1;2;3;4
odd_plane_fraction=0.75,odd_plane_fraction=1,embedding_val_zeta,5,0.4675893399,0.4444205834,-0.02316875656,-0.0669132444,0.02057573127,0.04374448784,-1.47051169,1,4,0,0;1;2;3;4
odd_plane_fraction=0.75,odd_plane_fraction=1,embedding_whole_val_regularization_raw,5,0.0095126,0.004718,-0.0047946,-0.009674455195,8.525519485e-05,0.004879855195,-2.727938262,1,4,0,0;1;2;3;4
odd_plane_fraction=0.75,odd_plane_fraction=1,frozen_decoder_r2_mean,5,0.8937672377,0.8458788037,-0.04788843393,-0.05068810376,-0.04508876411,0.002799669823,-47.49117445,0,5,0,0;1;2;3;4
odd_plane_fraction=0.75,odd_plane_fraction=1,frozen_decoder_rmse_mean,5,78.18906555,94.15608826,15.96702271,14.93884932,16.99519609,1.028173388,43.11681526,5,0,0,0;1;2;3;4
odd_plane_fraction=0.75,odd_plane_fraction=1,finetuned_decoder_r2_mean,5,0.9101635337,0.859569943,-0.05059359074,-0.05273073108,-0.04845645039,0.002137140348,-65.72817152,0,5,0,0;1;2;3;4
odd_plane_fraction=0.75,odd_plane_fraction=1,finetuned_decoder_rmse_mean,5,71.88306122,89.8934494,18.01038818,17.19650857,18.8242678,0.8138796122,61.44011149,5,0,0,0;1;2;3;4
