config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
dimension=256,dimension=64,validation_zeta,4,0.26631075,0.28140825,0.0150975,-0.00658718146,0.03678218146,0.02168468146,2.215710809,4,0,0,0;1;2;3
dimension=256,dimension=64,validation_c_plus,4,0.05616075,0.0635055,0.00734475,-0.01992741626,0.03461691626,0.02727216626,0.8570742889,2,2,0,0;1;2;3
dimension=256,dimension=64,regularization_whole_batch_total_raw,4,0.000305,0.00027725,-2.775e-05,-0.0001006964896,4.519648957e-05,7.294648957e-05,-1.21065298,1,3,0,0;1;2;3
dimension=256,dimension=64,frozen_decoder_accuracy,4,0.5823214937,0.5850102081,0.00268871435,-0.02051229331,0.02588972201,0.02320100766,0.3688067852,3,1,0,0;1;2;3
dimension=256,dimension=64,frozen_decoder_balanced_accuracy,4,0.5819991888,0.5855707179,0.003571529133,-0.02304393513,0.0301869934,0.02661546426,0.4270524678,3,1,0,0;1;2;3
dimension=256,dimension=64,frozen_decoder_test_accuracy,4,0.5258535293,0.5257173449,-0.0001361843648,-0.03931900477,0.03904663604,0.0391828204,-0.01106095539,2,2,0,0;1;2;3
dimension=256,dimension=64,frozen_decoder_test_balanced_accuracy,4,0.5258787574,0.5256560097,-0.0002227477304,-0.0394873286,0.03904183314,0.03926458087,-0.01805399869,2,2,0,0;1;2;3
dimension=512,dimension=64,embedding_val_zeta,4,0.2446753457,0.2814081152,0.03673276944,0.01660919111,0.05685634776,0.02012357833,5.809109319,4,0,0,0;1;2;3
dimension=512,dimension=64,embedding_val_mean_plane_zeta,4,0.2500706533,0.2728517428,0.02278108948,0.02071155029,0.02485062867,0.002069539191,35.03175701,4,0,0,0;1;2;3
dimension=512,dimension=64,embedding_val_s,4,0.01467962881,0.01876596536,0.004086336553,-0.004295825162,0.01246849827,0.008382161715,1.551454996,2,2,0,0;1;2;3
dimension=512,dimension=64,embedding_val_c_plus,4,0.0551923852,0.06350542984,0.00831304464,-0.01775996685,0.03438605613,0.02607301149,1.014682106,2,2,0,0;1;2;3
dimension=512,dimension=64,validation_zeta,4,0.2446755,0.28140825,0.03673275,0.0166091023,0.0568563977,0.0201236477,5.80908622,4,0,0,0;1;2;3
dimension=512,dimension=64,validation_c_plus,4,0.05519225,0.0635055,0.00831325,-0.01776038579,0.03438688579,0.02607363579,1.014682876,2,2,0,0;1;2;3
dimension=512,dimension=64,regularization_whole_batch_total_raw,4,0.0004645,0.00027725,-0.00018725,-0.0002311242094,-0.0001433757906,4.38742094e-05,-13.58230903,0,4,0,0;1;2;3
dimension=512,dimension=64,frozen_decoder_accuracy,4,0.5820256585,0.5850102081,0.002984549561,-0.01252273822,0.01849183734,0.01550728778,0.6124970955,2,1,1,0;1;2;3
dimension=512,dimension=64,frozen_decoder_balanced_accuracy,4,0.5822320218,0.5855707179,0.003338696088,-0.01500549975,0.02168289192,0.01834419583,0.5792143262,3,1,0,0;1;2;3
dimension=512,dimension=64,frozen_decoder_test_accuracy,4,0.5221916724,0.5257173449,0.00352567253,-0.03838017032,0.04543151538,0.04190584285,0.2677493818,3,1,0,0;1;2;3
dimension=512,dimension=64,frozen_decoder_test_balanced_accuracy,4,0.5221823962,0.5256560097,0.003473613524,-0.0383722759,0.04531950295,0.04184588943,0.2641738216,3,1,0,0;1;2;3
