embedding_dim,decoder_seed,run_name,output_dir,model,embedder_init,feature_layer,feature_dim,flat_feature_dim,decoder_type,accuracy,balanced_accuracy,macro_f1,best_val_acc,best_val_ce,test_accuracy,test_balanced_accuracy,test_macro_f1
128,0,20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim128_seed0_hidden,finetuned_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.25857519788918204,1.3857974608739216,0.25555555555555554,0.25,0.10176991150442478
128,0,20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim128_seed0_hidden,frozen_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.2585752010345459,1.3860548734664917,0.25555555555555554,0.25,0.10176991150442478
128,1,20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim128_seed1_hidden,finetuned_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.25857519788918204,1.3859682530164719,0.25555555555555554,0.25,0.10176991150442478
128,1,20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim128_seed1_hidden,frozen_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.2585752010345459,1.3859784603118896,0.24888888888888888,0.25,0.099644128113879
128,2,20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim128_seed2_hidden,finetuned_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.25857519788918204,1.385855143268903,0.25555555555555554,0.25,0.10176991150442478
128,2,20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim128_seed2_hidden,frozen_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.2585752010345459,1.3857420682907104,0.25555555555555554,0.25,0.10176991150442478
128,3,20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim128_seed3_hidden,finetuned_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.25857519788918204,1.3857012242078781,0.24888888888888888,0.25,0.099644128113879
128,3,20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim128_seed3_hidden,frozen_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.2585752010345459,1.3858922719955444,0.24888888888888888,0.25,0.099644128113879
128,4,20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim128_seed4_hidden,finetuned_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.25857519788918204,1.38577434917291,0.24888888888888888,0.25,0.099644128113879
128,4,20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_132824_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim128_seed4_hidden,frozen_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.2585752010345459,1.386104702949524,0.24888888888888888,0.25,0.099644128113879
256,0,20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim256_seed0_hidden,finetuned_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.25857519788918204,1.385971521337827,0.25555555555555554,0.25,0.10176991150442478
256,0,20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim256_seed0_hidden,frozen_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.2585752010345459,1.3860470056533813,0.25555555555555554,0.25,0.10176991150442478
256,1,20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim256_seed1_hidden,finetuned_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.25857519788918204,1.3856555968523026,0.24888888888888888,0.25,0.099644128113879
256,1,20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim256_seed1_hidden,frozen_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.2585752010345459,1.3859387636184692,0.24888888888888888,0.25,0.099644128113879
256,2,20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim256_seed2_hidden,finetuned_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.25857519788918204,1.3857029179732006,0.24888888888888888,0.25,0.099644128113879
256,2,20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim256_seed2_hidden,frozen_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.2585752010345459,1.3859179019927979,0.25555555555555554,0.25,0.10176991150442478
256,3,20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim256_seed3_hidden,finetuned_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.25857519788918204,1.3857107510169346,0.24888888888888888,0.25,0.099644128113879
256,3,20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim256_seed3_hidden,frozen_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.2585752010345459,1.386251449584961,0.24888888888888888,0.25,0.099644128113879
256,4,20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,physionetmi/synth_runs/20260720_151704_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_dim256_seed4_hidden,finetuned_temporal_conv,pretrained,hidden,256,204800,temporal_conv,0.25857519788918204,0.25,0.10272536687631027,0.25857519788918204,1.3856857468684514,0.25555555555555554,0.25,0.10176991150442478
