baseline_dimension,baseline_lambda_start_frac,baseline_lambda_block_cca,dimension,lambda_start_frac,lambda_block_cca,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
128,0.1,10.0,64,0.1,10.0,frozen_decoder_rmse_y,5,0;1;2;3;4,78.89742737,81.36756439,2.470137024,0.8406843838,4.099589664,1.62945264,4.208897933,0.01359820253
128,0.1,10.0,64,0.1,10.0,frozen_decoder_rmse_mean,5,0;1;2;3;4,76.34406433,79.12347412,2.77940979,-0.05083775161,5.609657332,2.830247542,2.726573769,0.05262859097
128,0.1,10.0,64,0.1,10.0,frozen_decoder_r2_x,5,0;1;2;3;4,0.914819777,0.9074351549,-0.007384622097,-0.01724987082,0.002480626628,0.009865248725,-2.078305215,0.1062264802
128,0.1,10.0,64,0.1,10.0,frozen_decoder_r2_y,5,0;1;2;3;4,0.8826262236,0.8751262546,-0.007499969006,-0.01252927467,-0.002470663342,0.005029305664,-4.140383112,0.01437204718
128,0.1,10.0,64,0.1,10.0,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8987229943,0.8912806988,-0.007442295551,-0.01485036956,-3.422153832e-05,0.007408074013,-2.789270871,0.04934877447
128,0.1,10.0,64,0.1,10.0,finetuned_decoder_rmse_x,5,0;1;2;3;4,68.5473465,69.76903229,1.221685791,-0.8059684134,3.249339995,2.027654204,1.672841221,0.1696743431
128,0.1,10.0,64,0.1,10.0,finetuned_decoder_rmse_y,5,0;1;2;3;4,73.06969452,74.66730499,1.597610474,0.4135361236,2.781684824,1.18407435,3.746114236,0.02001447288
128,0.1,10.0,64,0.1,10.0,finetuned_decoder_rmse_mean,5,0;1;2;3;4,70.84730682,72.26536407,1.418057251,-0.1224916258,2.958606128,1.540548877,2.555685297,0.0629250225
128,0.1,10.0,64,0.1,10.0,finetuned_decoder_r2_x,5,0;1;2;3;4,0.9262846112,0.9236329913,-0.002651619911,-0.007070312421,0.001767072598,0.004418692509,-1.666121168,0.1710182329
128,0.1,10.0,64,0.1,10.0,finetuned_decoder_r2_y,5,0;1;2;3;4,0.89933182,0.8948560953,-0.004475724697,-0.007809748132,-0.001141701262,0.003334023435,-3.727209532,0.0203462631
128,0.1,10.0,64,0.1,10.0,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.9128082156,0.9092445493,-0.003563666344,-0.007307707287,0.0001803745992,0.003744040943,-2.642685838,0.05741889674
