config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
dimension=256,dimension=512,mean_val_zeta,5,0.5062118173,0.5102752686,0.00406345128,-0.01040332259,0.01853022515,0.01446677387,0.7798524756,4,1,0,0;1;2;3;4
dimension=256,dimension=512,best_val_s,5,0.8434886018,0.841709182,-0.001779419846,-0.006702151297,0.003143311605,0.004922731451,-1.003601673,1,4,0,0;1;2;3;4
dimension=256,dimension=512,best_val_c_plus,5,1.831209381,1.822334592,-0.008874789874,-0.06085536137,0.04310578162,0.05198057149,-0.4740303194,2,3,0,0;1;2;3;4
dimension=256,dimension=512,regularization_whole_batch_total_raw,5,0.1928742,0.1851584,-0.0077158,-0.0150488871,-0.0003827128969,0.007333087103,-2.921347427,0,5,0,0;1;2;3;4
dimension=256,dimension=64,best_val_zeta,5,0.4607758674,0.4811995003,0.02042363286,0.0009608405537,0.03988642517,0.01946279231,2.91351285,4,1,0,0;1;2;3;4
dimension=256,dimension=64,mean_val_zeta,5,0.5062118173,0.391027093,-0.1151847243,-0.1483581871,-0.08201126155,0.03317346277,-9.640358206,0,5,0,0;1;2;3;4
dimension=256,dimension=64,best_val_s,5,0.8434886018,0.5207676537,-0.3227209482,-0.3628258542,-0.2826160422,0.04010490599,-22.34183013,0,5,0,0;1;2;3;4
dimension=256,dimension=64,best_val_c_plus,5,1.831209381,1.08352803,-0.7476813515,-0.8104449388,-0.6849177642,0.0627635873,-33.07484989,0,5,0,0;1;2;3;4
dimension=256,dimension=64,regularization_whole_batch_total_raw,5,0.1928742,0.0213126,-0.1715616,-0.1853412818,-0.1577819182,0.0137796818,-34.56766068,0,5,0,0;1;2;3;4
dimension=32,dimension=512,best_val_zeta,5,0.4618989812,0.4620149003,0.0001159191132,-0.05228158938,0.05251342761,0.05239750849,0.006142335076,3,2,0,0;1;2;3;4
dimension=32,dimension=512,mean_val_zeta,5,0.3755454361,0.5102752686,0.1347298324,0.1117158262,0.1577438386,0.02301400621,16.2540142,5,0,0,0;1;2;3;4
dimension=32,dimension=512,best_val_s,5,0.5160427901,0.841709182,0.3256663918,0.2749970984,0.3763356853,0.05066929349,17.845026,5,0,0,0;1;2;3;4
dimension=32,dimension=512,best_val_c_plus,5,1.127473161,1.822334592,0.6948614306,0.4520565251,0.9376663361,0.2428049055,7.945657497,5,0,0,0;1;2;3;4
dimension=32,dimension=512,regularization_whole_batch_total_raw,5,0.0156804,0.1851584,0.169478,0.1457471355,0.1932088645,0.02373086445,19.82845439,5,0,0,0;1;2;3;4
dimension=32,dimension=64,best_val_zeta,5,0.4618989812,0.4811995003,0.0193005191,-0.02116683472,0.05976787291,0.04046735381,1.324199057,4,1,0,0;1;2;3;4
dimension=32,dimension=64,mean_val_zeta,5,0.3755454361,0.391027093,0.01548165682,-0.01756162304,0.04852493668,0.03304327986,1.300838491,4,1,0,0;1;2;3;4
dimension=32,dimension=64,best_val_s,5,0.5160427901,0.5207676537,0.004724863503,-0.03206277793,0.04151250493,0.03678764143,0.3565959554,2,3,0,0;1;2;3;4
dimension=32,dimension=64,best_val_c_plus,5,1.127473161,1.08352803,-0.04394513104,-0.2097276971,0.121837435,0.165782566,-0.735971501,2,3,0,0;1;2;3;4
dimension=32,dimension=64,regularization_whole_batch_total_raw,5,0.0156804,0.0213126,0.0056322,-0.01268343748,0.02394783748,0.01831563748,0.853778316,4,1,0,0;1;2;3;4
dimension=512,dimension=64,best_val_zeta,5,0.4620149003,0.4811995003,0.01918459998,-0.00639361279,0.04476281275,0.02557821277,2.082435907,4,1,0,0;1;2;3;4
dimension=512,dimension=64,mean_val_zeta,5,0.5102752686,0.391027093,-0.1192481756,-0.1506595846,-0.08783676662,0.03141140898,-10.54031081,0,5,0,0;1;2;3;4
dimension=512,dimension=64,best_val_s,5,0.841709182,0.5207676537,-0.3209415283,-0.3640059353,-0.2778771214,0.04306440694,-20.69171733,0,5,0,0;1;2;3;4
dimension=512,dimension=64,best_val_c_plus,5,1.822334592,1.08352803,-0.7388065616,-0.8532021898,-0.6244109335,0.1143956282,-17.93124348,0,5,0,0;1;2;3;4
dimension=512,dimension=64,regularization_whole_batch_total_raw,5,0.1851584,0.0213126,-0.1638458,-0.1830895632,-0.1446020368,0.01924376323,-23.63928842,0,5,0,0;1;2;3;4
