dimension,seed,run_dir,best_epoch,checkpoint_selection,best_val_zeta,best_val_s,best_val_c_plus,best_val_loss,validation_batches,regularization_train_log_equiv,regularization_whole_batch_log_equiv,regularization_total_scaled,regularization_whole_batch_total_scaled,train_log
32,4,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160451_d32_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,72,best_val_zeta,0.4760941167672475,0.862598717212677,1.812722471025255,-0.8169373671213785,9,0.045661,0.039357,0.045661,0.039357,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d32_seed4.log
64,0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160512_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,42,best_val_zeta,0.45140337612893844,0.8662490778499179,1.9198162025875516,-0.7633017036649916,9,0.102947,0.095813,0.102947,0.095813,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d64_seed0.log
64,1,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160538_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,27,best_val_zeta,0.4296499225828383,0.7909678485658433,1.8411816755930583,-0.6833388739162021,9,0.107629,0.101384,0.107629,0.101384,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d64_seed1.log
64,2,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160603_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,37,best_val_zeta,0.441563927465015,0.8520518011516995,1.9300431542926364,-0.7477360367774963,9,0.104316,0.098022,0.104316,0.098022,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d64_seed2.log
64,3,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160628_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,20,best_val_zeta,0.4450290534231398,0.8272241486443414,1.8591013881895277,-0.7088388270801969,9,0.118385,0.110819,0.118385,0.110819,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d64_seed3.log
64,4,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160654_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,45,best_val_zeta,0.4483162694507175,0.8585348063045077,1.9152044455210369,-0.7628094885084364,9,0.095725,0.090081,0.095725,0.090081,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d64_seed4.log
128,0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160719_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,39,best_val_zeta,0.4294454488489363,0.8517727123366462,1.9838572873009577,-0.7218827207883199,9,0.129890,0.122997,0.129890,0.122997,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d128_seed0.log
128,1,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160754_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,23,best_val_zeta,0.4282137950261434,0.7888616654607985,1.8422821230358548,-0.6559421552552117,9,0.132919,0.126689,0.132919,0.126689,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d128_seed1.log
128,2,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160828_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,39,best_val_zeta,0.43787701262368095,0.8609347807036506,1.9662182993359036,-0.7265508439805772,9,0.134384,0.128906,0.134384,0.128906,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d128_seed2.log
128,3,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160903_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,33,best_val_zeta,0.4411943621105618,0.85413924853007,1.9360173808203802,-0.7108851538764106,9,0.143254,0.135796,0.143254,0.135796,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d128_seed3.log
128,4,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160938_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,34,best_val_zeta,0.450581173102061,0.8387402892112732,1.8617324696646795,-0.707768460114797,9,0.130972,0.124388,0.130972,0.124388,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d128_seed4.log
256,0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_161013_d256_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,50,best_val_zeta,0.423517366250356,0.8646058307753669,2.0421191453933716,-0.7264571521017287,9,0.138148,0.131585,0.138148,0.131585,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d256_seed0.log
256,1,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_161117_d256_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,40,best_val_zeta,0.41830488708284164,0.8537744283676147,2.0414230028788247,-0.7068901128239102,9,0.146884,0.141397,0.146884,0.141397,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d256_seed1.log
256,2,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_161214_d256_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,44,best_val_zeta,0.42452559537357754,0.8526118265257941,2.0084433025783963,-0.7138998574680753,9,0.138712,0.133671,0.138712,0.133671,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d256_seed2.log
256,3,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_161311_d256_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,40,best_val_zeta,0.44474486178821987,0.8558659685982598,1.9245817396375868,-0.7018669313854642,9,0.153999,0.147155,0.153999,0.147155,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d256_seed3.log
256,4,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_161408_d256_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,30,best_val_zeta,0.403863529364268,0.777542769908905,1.9254551861021254,-0.6331311464309692,9,0.144411,0.139063,0.144411,0.139063,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d256_seed4.log
512,0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_161505_d512_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,50,best_val_zeta,0.42266374826431274,0.7227131326993307,1.7102279795540705,-0.5973448753356934,9,0.125368,0.119967,0.125368,0.119967,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d512_seed0.log
512,1,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_161645_d512_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,83,best_val_zeta,0.4296366141902076,0.8595904509226481,2.0014725658628674,-0.7091192801793417,9,0.150471,0.146024,0.150471,0.146024,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d512_seed1.log
512,2,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_161832_d512_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,41,best_val_zeta,0.4147136906782786,0.7197414305475023,1.7355982065200806,-0.5837728050020006,9,0.135968,0.131336,0.135968,0.131336,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d512_seed2.log
512,3,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_162012_d512_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,52,best_val_zeta,0.42569376362694633,0.8457269867261251,1.98710032304128,-0.6825358271598816,9,0.163191,0.157365,0.163191,0.157365,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d512_seed3.log
512,4,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_162153_d512_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,63,best_val_zeta,0.4063236514727275,0.83897555536694,2.0653227965037027,-0.6826022797160678,9,0.156373,0.151729,0.156373,0.151728,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d512_seed4.log
