embedding_dim,seed,run_name,output_dir,model,embedder_init,feature_layer,feature_dim,mse_x,mse_y,rmse_x,rmse_y,rmse_mean,r2_x,r2_y,r2_mean,corr_x,corr_y,best_val_mse_z
64,4,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed4_100ms_hidden,finetuned_mlp,pretrained,hidden,256,5005.8720703125,5877.8994140625,70.75218963623047,76.6674575805664,73.77043151855469,0.9227887392044067,0.8883330225944519,0.9055608510971069,0.9607181664696097,0.9430022640771427,0.09386367764737871
64,4,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed4_100ms_hidden,frozen_mlp,pretrained,hidden,256,6189.0419921875,6930.80859375,78.67046356201172,83.25148010253906,80.99397277832031,0.9045393466949463,0.8683301210403442,0.8864347338676453,0.9517351263653345,0.9319166657346349,0.11286761611700058
64,4,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed4_100ms,finetuned_mlp,pretrained,output,64,4870.20947265625,5535.36865234375,69.7868881225586,74.40005493164062,72.13131713867188,0.9248812198638916,0.8948403596878052,0.9098607897758484,0.9617680148370588,0.9459921394468057,0.08958988719516331
64,4,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed4_100ms,frozen_mlp,pretrained,output,64,6268.08203125,7003.9833984375,79.17121887207031,83.68980407714844,81.46285247802734,0.9033202528953552,0.8669399619102478,0.8851301074028015,0.9505007322177565,0.9312475902734778,0.11416622996330261
128,0,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed0_100ms_hidden,finetuned_mlp,pretrained,hidden,256,4979.62451171875,5558.29833984375,70.56645202636719,74.55399322509766,72.58879852294922,0.9231935739517212,0.8944047689437866,0.9087991714477539,0.961494077794175,0.9465877219430239,0.09065438641442193
128,0,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed0_100ms_hidden,frozen_mlp,pretrained,hidden,256,5863.8525390625,6399.42333984375,76.57579803466797,79.99639892578125,78.30545043945312,0.9095551371574402,0.8784252405166626,0.893990159034729,0.9538379981727478,0.9374393368055862,0.10536942631006241
128,0,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed0_100ms,finetuned_mlp,pretrained,output,128,4834.603515625,5484.62158203125,69.53131103515625,74.0582275390625,71.83129119873047,0.925430417060852,0.8958044648170471,0.910617470741272,0.9621390417722068,0.9465570935241291,0.08885655221011904
128,0,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed0_100ms,frozen_mlp,pretrained,output,128,5930.6240234375,6782.140625,77.01054382324219,82.35375213623047,79.7279052734375,0.9085252285003662,0.8711544871330261,0.8898398876190186,0.9531768157333532,0.9334911146484872,0.10947542637586594
128,1,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed1_100ms_hidden,finetuned_mlp,pretrained,hidden,256,4934.4462890625,5378.81591796875,70.24561309814453,73.34040832519531,71.81059265136719,0.9238904118537903,0.8978145122528076,0.9108524322509766,0.9613381673588801,0.9475990052168131,0.08864067080948088
128,1,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed1_100ms_hidden,frozen_mlp,pretrained,hidden,256,5882.0576171875,6476.04541015625,76.69457244873047,80.473876953125,78.60761260986328,0.9092743396759033,0.876969575881958,0.8931219577789307,0.9539221767102433,0.9375297203042499,0.10622873157262802
