baseline_lambda_start_frac,baseline_lambda_block_cca,baseline_dimension,lambda_start_frac,lambda_block_cca,dimension,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
1.0,0.5,128,1.0,20.0,128,finetuned_decoder_rmse_y,5,0;1;2;3;4,75.04316864,75.46699982,0.4238311768,-0.7429319158,1.590594269,1.166763093,1.008554353,0.3702440585
1.0,0.5,128,1.0,20.0,128,finetuned_decoder_rmse_mean,5,0;1;2;3;4,72.57956543,73.14963379,0.5700683594,-0.6812078664,1.821344585,1.251276226,1.264919347,0.2745739505
1.0,0.5,128,1.0,20.0,128,finetuned_decoder_r2_x,5,0;1;2;3;4,0.9230852604,0.9214631557,-0.001622104645,-0.005052716428,0.001808507138,0.003430611783,-1.312793398,0.2595048188
1.0,0.5,128,1.0,20.0,128,finetuned_decoder_r2_y,5,0;1;2;3;4,0.8937961817,0.8926081061,-0.001188075542,-0.004447058235,0.00207090715,0.003258982693,-1.012164481,0.3687101625
1.0,0.5,128,1.0,20.0,128,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.908440721,0.9070356369,-0.001405084133,-0.00450584208,0.001695673813,0.003100757946,-1.258124314,0.2767798966
1.0,0.5,128,1.0,5.0,128,embedding_val_zeta,5,0;1;2;3;4,0.4510677682,0.4525419785,0.001474210289,-0.02114320925,0.02409162982,0.02261741953,0.180969537,0.8651910096
1.0,0.5,128,1.0,5.0,128,mean_val_zeta,5,0;1;2;3;4,0.4929746389,0.2327926904,-0.2601819485,-0.2920189816,-0.2283449155,0.03183703305,-22.68995658,2.234671425e-05
1.0,0.5,128,1.0,5.0,128,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.2543978,0.0070274,-0.2473704,-0.2713648285,-0.2233759715,0.02399442845,-28.62374228,8.865843341e-06
1.0,0.5,128,1.0,5.0,128,checkpoint_regularization_lambda,5,0;1;2;3;4,0.5,5,4.5,4.5,4.5,0,inf,0
1.0,0.5,128,1.0,5.0,128,frozen_decoder_rmse_x,5,0;1;2;3;4,75.45834045,79.80123444,4.342893982,3.01070282,5.675085144,1.332191162,9.051108491,0.0008256646159
1.0,0.5,128,1.0,5.0,128,frozen_decoder_rmse_y,5,0;1;2;3;4,81.87742615,84.6123764,2.734950256,1.31082204,4.159078472,1.424128216,5.331991296,0.005957275353
1.0,0.5,128,1.0,5.0,128,frozen_decoder_rmse_mean,5,0;1;2;3;4,78.73738251,82.24646912,3.509086609,2.933048603,4.085124615,0.5760380056,16.91344363,7.164224036e-05
1.0,0.5,128,1.0,5.0,128,frozen_decoder_r2_x,5,0;1;2;3;4,0.9107011437,0.9001449466,-0.01055619717,-0.01370376867,-0.007408625663,0.003147571503,-9.311528561,0.0007402719521
1.0,0.5,128,1.0,5.0,128,frozen_decoder_r2_y,5,0;1;2;3;4,0.8735342145,0.8649868608,-0.008547353745,-0.01278814123,-0.004306566257,0.004240787487,-5.595955595,0.005005219363
1.0,0.5,128,1.0,5.0,128,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8921176672,0.8825659037,-0.009551763535,-0.01119667211,-0.007906854954,0.00164490858,-16.12244439,8.657059415e-05
1.0,0.5,128,1.0,5.0,128,finetuned_decoder_rmse_x,5,0;1;2;3;4,70.01808472,69.62112427,-0.3969604492,-1.566423703,0.772502805,1.169463254,-0.9424314037,0.3993331477
1.0,0.5,128,1.0,5.0,128,finetuned_decoder_rmse_y,5,0;1;2;3;4,75.04316864,74.52249756,-0.5206710815,-2.340435776,1.299093613,1.819764694,-0.7943964844,0.4714339979
1.0,0.5,128,1.0,5.0,128,finetuned_decoder_rmse_mean,5,0;1;2;3;4,72.57956543,72.11755066,-0.4620147705,-1.321539057,0.3975095163,0.8595242868,-1.492405355,0.2098749869
1.0,0.5,128,1.0,5.0,128,finetuned_decoder_r2_x,5,0;1;2;3;4,0.9230852604,0.9239775777,0.0008923172951,-0.001697288087,0.003481922678,0.002589605382,0.9566978826,0.3928963734
1.0,0.5,128,1.0,5.0,128,finetuned_decoder_r2_y,5,0;1;2;3;4,0.8937961817,0.8952894688,0.001493287086,-0.003607698273,0.006594272446,0.005100985359,0.8127899474,0.461944742
1.0,0.5,128,1.0,5.0,128,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.908440721,0.9096335173,0.00119279623,-0.001086251343,0.003471843803,0.002279047573,1.4531216,0.2198500282
